日付,始値,高値,安値,終値
2018/11/9,22471.31,22494.58,22226.01,22250.25
2018/11/12,22121.7,22324.01,22046.29,22269.88
2018/11/13,21885.24,21892.29,21484.65,21810.52
2018/11/14,21851.13,21990.41,21764.88,21846.48
2018/11/15,21670.35,21818.73,21613.53,21803.62
2018/11/16,21804.9,21873.74,21663.99,21680.34
2018/11/19,21679.03,21852.92,21665.29,21821.16
2018/11/20,21582.69,21687.12,21526.95,21583.12
2018/11/21,21286.81,21555.61,21243.38,21507.54
2018/11/22,21582.47,21684.64,21484.98,21646.55
2018/11/26,21647.69,21838.1,21622.6,21812
2018/11/27,21967.98,22006.83,21816.05,21952.4
2018/11/28,22036.72,22216.98,22032.72,22177.02
2018/11/29,22360.98,22437.95,22241.17,22262.6
2018/11/30,22274.97,22362.2,22231.96,22351.06
2018/12/3,22629.39,22698.79,22550.29,22574.76
2018/12/4,22533.97,22576.62,22033.41,22036.05
2018/12/5,21755.17,21979.18,21708.82,21919.33
2018/12/6,21766.5,21805.02,21307.72,21501.62
2018/12/7,21643.75,21734.94,21506.45,21678.68
2018/12/10,21319.47,21365.78,21169.96,21219.5
2018/12/11,21273.04,21279.02,21062.31,21148.02
2018/12/12,21348.4,21631.47,21320.72,21602.75
2018/12/13,21755.13,21871.34,21675.66,21816.19
2018/12/14,21638.96,21751.31,21353.94,21374.83
2018/12/17,21391.73,21563.27,21363.67,21506.88
2018/12/18,21275.51,21330.36,21101.44,21115.45
2018/12/19,21107.17,21168.62,20880.73,20987.92
2018/12/20,20779.93,20841.34,20282.93,20392.58
2018/12/21,20310.5,20334.73,20006.67,20166.19
2018/12/25,19785.43,19785.43,19117.96,19155.74
2018/12/26,19302.59,19530.35,18948.58,19327.06
2018/12/27,19706.19,20211.57,19701.76,20077.62
2018/12/28,19957.88,20084.38,19900.04,20014.77
2019/1/4,19655.13,19692.58,19241.37,19561.96
2019/1/7,19944.61,20266.22,19920.8,20038.97
2019/1/8,20224.67,20347.92,20106.36,20204.04
2019/1/9,20366.3,20494.35,20331.2,20427.06
2019/1/10,20270.88,20345.92,20101.93,20163.8
2019/1/11,20296.45,20389.89,20294.74,20359.7
2019/1/15,20264.82,20571.28,20204.43,20555.29
2019/1/16,20575.72,20580.25,20323.32,20442.75
2019/1/17,20544.23,20571.75,20342.46,20402.27
2019/1/18,20472.81,20682.12,20454.13,20666.07
2019/1/21,20848.38,20892.68,20678.26,20719.33
2019/1/22,20770.06,20805.93,20558.3,20622.91
2019/1/23,20453.44,20686.29,20438.22,20593.72
2019/1/24,20506.24,20620.72,20467.59,20574.63
2019/1/25,20598.64,20844.31,20598.64,20773.56
2019/1/28,20746.29,20759.48,20624.55,20649
2019/1/29,20555.44,20673.66,20406.22,20664.64
2019/1/30,20701.62,20706.27,20527.53,20556.54
2019/1/31,20832.91,20869.42,20682.91,20773.49
2019/2/1,20797.03,20929.63,20741.98,20788.39
2019/2/4,20831.9,20922.58,20823.68,20883.77
2019/2/5,20960.47,20981.23,20823.18,20844.45
2019/2/6,20928.87,20971.66,20860.99,20874.06
2019/2/7,20812.22,20844.77,20665.51,20751.28
2019/2/8,20510.5,20562.39,20315.31,20333.17
2019/2/12,20442.55,20885.88,20428.57,20864.21
2019/2/13,21029.93,21213.74,20992.88,21144.48
2019/2/14,21147.89,21235.62,21102.16,21139.71
2019/2/15,21051.51,21051.51,20853.33,20900.63
2019/2/18,21217.32,21306.36,21189.97,21281.85
2019/2/19,21256.58,21344.17,21217.16,21302.65
2019/2/20,21346.04,21494.85,21315.39,21431.49
2019/2/21,21422.31,21553.35,21318.74,21464.23
2019/2/22,21376.36,21451.23,21348.67,21425.51
